0,3.762,0.7451,0.17286
5,3.7871,0.736,0.16742
10,3.8813,0.7246,0.16263
15,4.0642,0.71594,0.1586
20,4.3432,0.71311,0.15586
25,4.7528,0.72318,0.15749
30,5.3192,0.75529,0.16769
35,6.1157,0.82907,0.1905
40,7.2038,0.9689,0.2276
45,8.7193,1.2308,0.28042
50,10.781,1.6839,0.35321
55,13.702,2.4999,0.46727
60,17.716,3.8921,0.66482
65,23.385,6.3747,1.1189
70,31.181,10.611,2.2488
75,41.898,18.133,5.4877
80,53.055,30.031,13.695
85,76.545,65.032,56.865
90,100.03,100.03,100.03
